timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605526788891,1145,Today's Deals,200,OK,Amazon_Thread group 1-95,text,true,,107429,465,91,91,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,446,0,70
1605526788915,1127,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-36,text,true,,74699,464,91,91,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,418,0,0
1605526789055,997,Today's Deals,200,OK,Amazon_Thread group 1-67,text,true,,109091,465,91,91,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,410,0,37
1605526789064,1008,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-56,text,true,,74429,464,91,91,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,426,0,0
1605526788042,2035,Today's Deals,200,OK,Amazon_Thread group 1-78,text,true,,115031,465,91,91,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,866,0,38
1605526789095,987,Cart Page,200,OK,Amazon_Thread group 1-79,text,true,,77378,427,91,91,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,387,0,58
1605526788735,1376,SLP: Search listing Page,200,OK,Amazon_Thread group 1-7,text,true,,130210,422,91,91,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,253,0,0
1605526788928,1185,Cart Page,200,OK,Amazon_Thread group 1-71,text,true,,79334,427,90,90,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,352,0,43
1605526789299,816,Cart Page,200,OK,Amazon_Thread group 1-74,text,true,,76721,427,90,90,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,413,0,54
1605526789082,1041,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-49,text,true,,73958,464,90,90,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,456,0,0
1605526789141,1003,Cart Page,200,OK,Amazon_Thread group 1-57,text,true,,73916,427,90,90,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,361,0,46
1605526789026,1129,Cart Page,200,OK,Amazon_Thread group 1-66,text,true,,73910,427,90,90,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,349,0,39
1605526789115,1047,Cart Page,200,OK,Amazon_Thread group 1-72,text,true,,76540,427,90,90,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,372,0,58
1605526789026,1164,SLP: Search listing Page,200,OK,Amazon_Thread group 1-26,text,true,,141250,422,90,90,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,258,0,0
1605526788833,1367,Today's Deals,200,OK,Amazon_Thread group 1-86,text,true,,112170,465,89,89,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,775,0,38
1605526788976,1226,SLP: Search listing Page,200,OK,Amazon_Thread group 1-21,text,true,,132865,422,89,89,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,241,0,0
1605526788757,1447,Cart Page,200,OK,Amazon_Thread group 1-70,text,true,,78052,427,88,88,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,745,0,37
1605526789025,1191,SLP: Search listing Page,200,OK,Amazon_Thread group 1-5,text,true,,142307,422,88,88,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,237,0,0
1605526789065,1183,SLP: Search listing Page,200,OK,Amazon_Thread group 1-27,text,true,,132203,422,87,87,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,242,0,0
1605526789008,1249,SLP: Search listing Page,200,OK,Amazon_Thread group 1-3,text,true,,129309,422,86,86,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,237,0,0
1605526788892,1412,Today's Deals,200,OK,Amazon_Thread group 1-75,text,true,,115617,465,85,85,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,822,0,69
1605526789207,1102,Cart Page,200,OK,Amazon_Thread group 1-73,text,true,,76595,427,85,85,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,377,0,41
1605526787870,2447,Amazon HomePage,200,OK,Amazon_Thread group 1-92,text,true,,97287,391,85,85,https://www.amazon.com/,891,0,58
1605526789220,1107,Cart Page,200,OK,Amazon_Thread group 1-62,text,true,,78693,427,85,85,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,359,0,40
1605526789225,1108,Cart Page,200,OK,Amazon_Thread group 1-85,text,true,,74710,427,85,85,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,352,0,41
1605526787598,2735,Today's Deals,200,OK,Amazon_Thread group 1-69,text,true,,109734,465,85,85,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,1033,0,54
1605526787918,2431,Amazon HomePage,200,OK,Amazon_Thread group 1-93,text,true,,104532,391,85,85,https://www.amazon.com/,870,0,34
1605526789266,1091,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-44,text,true,,72059,464,85,85,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,392,0,0
1605526789130,1241,SLP: Search listing Page,200,OK,Amazon_Thread group 1-32,text,true,,135490,422,85,85,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,242,0,0
1605526789393,987,Today's Deals,200,OK,Amazon_Thread group 1-97,text,true,,109136,465,84,84,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,404,0,35
1605526789333,1077,Cart Page,200,OK,Amazon_Thread group 1-63,text,true,,76362,427,84,84,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,354,0,47
